cliente_id,curvatura,porosidade,dano_quimico,ressecamento_opacidade,alta_porosidade_quimica,frizz_falta_definicao,transicao_capilar,couro_sensivel_oleoso,produto_usado,score_terapeutico_real,nota_satisfacao,cluster
CLI_0063,4,3,0,1,0,0,0,0,Curly Care Manteiga Nutritiva,1.0,5,2
CLI_0064,3,2,0,1,0,1,0,0,Arvensis Geleia Forte Fixação,0.6,3,2
CLI_0065,3,3,1,1,1,1,1,0,Arvensis Ativador de Cachos e Crespos,0.65,4,3
CLI_0066,3,2,0,1,0,0,0,1,Arvensis Geleia Forte Fixação,0.15,2,0
CLI_0067,3,2,0,0,0,1,0,0,Deva Curl Delight (Volume e Leveza),0.6,3,1
CLI_0068,3,2,1,1,0,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.4,3,2
CLI_0069,4,1,0,0,0,1,0,0,Arvensis Geleia Forte Fixação,1.0,4,1
CLI_0070,3,3,0,0,0,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.2,2,1
CLI_0071,4,2,0,1,0,1,0,1,Arvensis Ativador de Cachos e Crespos,0.533,4,0
CLI_0072,3,2,0,0,1,1,0,0,Arvensis Geleia Forte Fixação,0.65,3,1
CLI_0073,3,3,1,1,1,0,1,0,Deva Curl Delight (Volume e Leveza),0.267,3,3
CLI_0074,3,3,0,0,1,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.8,4,1
CLI_0075,4,3,1,1,1,0,0,1,Curly Care ACID-C (Acidificante Antiporosidade),0.567,3,3
CLI_0076,3,2,0,1,0,1,0,0,Curly Care Manteiga Nutritiva,0.7,3,2
CLI_0077,3,2,0,0,0,1,0,1,Arvensis Ativador de Cachos e Crespos,0.45,3,0
CLI_0078,3,1,1,1,0,0,1,0,Arvensis Ativador de Cachos e Crespos,0.7,4,2
CLI_0079,3,1,0,1,0,0,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.5,3,2
CLI_0080,2,3,1,1,1,1,0,1,Curly Care ACID-C (Acidificante Antiporosidade),0.575,3,3
CLI_0081,2,2,1,0,0,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.2,3,1
CLI_0082,3,2,0,1,0,0,0,0,Arvensis Geleia Forte Fixação,0.2,2,2
CLI_0083,4,3,1,1,1,1,0,0,Curly Care Manteiga Nutritiva,0.667,3,3
CLI_0084,4,1,0,1,0,1,0,0,Deva Curl Delight (Volume e Leveza),0.45,3,2
CLI_0085,4,3,0,1,1,0,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.75,5,3
CLI_0086,3,1,0,0,0,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.2,2,1
CLI_0087,3,3,1,1,1,1,0,1,Deva Curl Delight (Volume e Leveza),0.375,3,3
CLI_0088,3,3,0,0,1,1,1,1,Arvensis Geleia Forte Fixação,0.575,4,0
CLI_0089,2,1,1,0,0,1,0,0,Deva Curl Delight (Volume e Leveza),0.6,4,1
CLI_0090,4,1,0,1,0,1,0,0,Curly Care Manteiga Nutritiva,0.7,4,2
CLI_0091,3,1,0,0,0,1,0,1,Curly Care Manteiga Nutritiva,0.2,3,0
CLI_0092,3,1,0,0,0,0,0,1,Deva Curl Delight (Volume e Leveza),0.4,3,0
CLI_0093,4,3,1,1,1,0,0,0,Arvensis Geleia Forte Fixação,0.25,1,3
CLI_0094,4,1,0,1,0,0,1,0,Arvensis Geleia Forte Fixação,0.55,3,2
CLI_0095,2,2,1,1,1,1,0,0,Arvensis Ativador de Cachos e Crespos,0.633,3,3
CLI_0096,3,3,1,1,1,1,0,0,Arvensis Geleia Forte Fixação,0.5,3,3
CLI_0097,3,3,1,0,1,0,0,0,Curly Care ACID-C (Acidificante Antiporosidade),1.0,4,3
CLI_0098,2,2,0,0,1,1,0,0,Curly Care Manteiga Nutritiva,0.5,2,1
CLI_0099,2,3,0,0,1,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.3,3,1
CLI_0100,4,3,1,0,1,1,0,0,Deva Curl Delight (Volume e Leveza),0.4,2,3
CLI_0101,3,1,0,1,0,0,0,1,Curly Care ACID-C (Acidificante Antiporosidade),0.35,4,0
CLI_0102,3,2,0,0,0,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.6,4,1
CLI_0103,3,3,0,1,1,0,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.75,4,3
CLI_0104,3,1,0,0,1,1,0,1,Arvensis Ativador de Cachos e Crespos,0.433,3,0
CLI_0105,4,2,0,1,0,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.4,3,2
CLI_0106,3,1,0,1,0,0,0,0,Arvensis Ativador de Cachos e Crespos,0.7,4,2
CLI_0107,4,1,1,1,0,1,0,1,Arvensis Ativador de Cachos e Crespos,0.533,4,0
CLI_0108,3,1,0,0,0,1,1,0,Deva Curl Delight (Volume e Leveza),0.45,3,1
CLI_0109,2,2,0,1,0,0,0,1,Arvensis Ativador de Cachos e Crespos,0.4,2,0
CLI_0110,2,2,1,1,1,0,0,0,Arvensis Ativador de Cachos e Crespos,0.55,2,3
CLI_0111,3,1,0,0,0,0,0,1,Curly Care Manteiga Nutritiva,0.0,1,0
CLI_0112,4,2,1,1,0,0,0,0,Arvensis Ativador de Cachos e Crespos,0.7,1,2
CLI_0113,4,2,0,1,0,0,0,0,Curly Care Manteiga Nutritiva,1.0,4,2
CLI_0114,3,2,1,0,0,1,0,0,Arvensis Geleia Forte Fixação,1.0,5,1
CLI_0115,3,3,1,1,1,1,0,0,Arvensis Ativador de Cachos e Crespos,0.633,3,3
CLI_0116,2,2,1,0,0,1,1,1,Curly Care Manteiga Nutritiva,0.267,1,0
CLI_0117,3,2,0,0,0,1,0,1,Curly Care ACID-C (Acidificante Antiporosidade),0.4,2,0
CLI_0118,3,3,1,1,1,1,1,0,Curly Care ACID-C (Acidificante Antiporosidade),0.65,3,3
CLI_0119,3,3,0,1,0,0,1,0,Arvensis Geleia Forte Fixação,0.55,4,2
CLI_0120,3,3,1,1,1,1,0,0,Arvensis Ativador de Cachos e Crespos,0.633,4,3
CLI_0121,4,1,0,1,0,0,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.5,3,2
CLI_0122,3,2,0,0,0,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.6,4,1
CLI_0123,2,1,0,0,0,1,0,0,Curly Care Manteiga Nutritiva,0.4,2,1
CLI_0124,3,1,1,0,0,1,0,0,Curly Care Manteiga Nutritiva,0.4,4,1
CLI_0125,4,3,1,1,1,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.7,4,3
CLI_0126,3,3,0,1,0,1,0,0,Deva Curl Delight (Volume e Leveza),0.45,3,2
CLI_0127,3,2,1,1,0,1,0,0,Arvensis Ativador de Cachos e Crespos,0.75,3,2
CLI_0128,3,1,0,0,0,1,0,0,Deva Curl Delight (Volume e Leveza),0.6,3,1
CLI_0129,2,3,1,1,1,0,0,0,Arvensis Ativador de Cachos e Crespos,0.55,2,3
CLI_0130,2,1,0,0,0,1,1,1,Arvensis Geleia Forte Fixação,0.667,2,0
CLI_0131,3,2,0,1,0,0,0,0,Arvensis Geleia Forte Fixação,0.2,3,2
CLI_0132,2,2,0,1,0,0,1,0,Deva Curl Delight (Volume e Leveza),0.3,3,2
CLI_0133,3,3,1,0,1,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.8,5,3
CLI_0134,3,2,0,1,0,0,1,0,Curly Care ACID-C (Acidificante Antiporosidade),0.5,4,2
CLI_0135,4,1,0,1,0,0,0,0,Curly Care Manteiga Nutritiva,1.0,5,2
CLI_0136,4,2,0,1,0,1,0,0,Arvensis Ativador de Cachos e Crespos,0.75,4,2
CLI_0137,3,2,0,1,0,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.55,4,2
CLI_0138,3,1,0,1,0,1,0,0,Deva Curl Delight (Volume e Leveza),0.45,3,2
CLI_0139,4,2,0,1,0,1,0,0,Arvensis Geleia Forte Fixação,0.6,3,2
CLI_0140,3,1,0,0,0,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.6,3,1
CLI_0141,4,1,0,0,0,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.2,3,1
CLI_0142,2,3,1,1,1,0,1,1,Curly Care Manteiga Nutritiva,0.5,2,3
CLI_0143,3,3,1,1,1,1,0,0,Curly Care Manteiga Nutritiva,0.667,4,3
CLI_0144,3,1,0,0,0,1,0,0,Arvensis Geleia Forte Fixação,1.0,5,1
CLI_0145,3,1,0,0,0,1,0,0,Arvensis Geleia Forte Fixação,1.0,4,1
CLI_0146,2,2,0,0,0,0,0,1,Arvensis Co-Wash Suave Cachos Naturais,1.0,4,0
CLI_0147,3,1,0,1,1,1,1,0,Arvensis Geleia Forte Fixação,0.6,3,2
CLI_0148,3,2,0,1,1,1,0,0,Deva Curl Delight (Volume e Leveza),0.367,3,2
CLI_0149,3,3,0,0,0,1,0,0,Arvensis Ativador de Cachos e Crespos,0.8,5,1
CLI_0150,4,1,0,1,0,0,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.6,3,2
CLI_0151,3,3,1,1,1,1,1,1,Curly Care Manteiga Nutritiva,0.48,3,3
CLI_0152,3,2,0,1,0,0,0,0,Deva Curl Delight (Volume e Leveza),0.3,2,2
CLI_0153,3,1,0,0,0,1,0,0,Arvensis Geleia Forte Fixação,1.0,4,1
CLI_0154,3,2,0,1,0,1,0,1,Deva Curl Delight (Volume e Leveza),0.433,3,0
CLI_0155,3,3,0,0,1,0,0,0,Curly Care Manteiga Nutritiva,0.6,4,3
CLI_0156,3,2,0,1,0,1,0,0,Arvensis Geleia Forte Fixação,0.6,4,2
CLI_0157,3,1,0,0,0,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.6,3,1
CLI_0158,2,3,0,0,0,1,0,0,Curly Care Manteiga Nutritiva,0.4,2,1
CLI_0159,4,1,0,1,0,0,0,0,Deva Curl Delight (Volume e Leveza),0.3,2,2
CLI_0160,4,3,1,1,1,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.4,3,3
CLI_0161,4,1,0,1,0,0,1,0,Arvensis Ativador de Cachos e Crespos,0.7,4,2
CLI_0162,4,3,1,1,0,1,1,0,Curly Care ACID-C (Acidificante Antiporosidade),0.533,4,3
CLI_0163,3,2,0,1,0,1,0,0,Arvensis Geleia Forte Fixação,0.6,3,2
CLI_0164,3,2,1,0,0,1,1,0,Curly Care ACID-C (Acidificante Antiporosidade),0.55,3,1
CLI_0165,2,3,0,0,1,1,0,0,Arvensis Geleia Forte Fixação,0.65,4,1
CLI_0166,3,2,1,1,1,0,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.75,4,3
CLI_0167,3,1,0,1,1,0,0,0,Curly Care Manteiga Nutritiva,0.8,4,2
CLI_0168,3,3,1,0,1,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.8,4,3
CLI_0169,3,2,0,0,0,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.2,3,1
CLI_0170,4,2,1,1,0,0,0,0,Arvensis Ativador de Cachos e Crespos,0.7,4,2
CLI_0171,3,2,1,1,0,1,0,1,Curly Care Manteiga Nutritiva,0.467,3,0
CLI_0172,4,2,0,1,0,0,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.5,3,2
CLI_0173,3,1,0,1,0,0,1,0,Curly Care Manteiga Nutritiva,0.7,3,2
CLI_0174,4,3,1,1,1,1,0,0,Arvensis Ativador de Cachos e Crespos,0.633,4,3
CLI_0175,3,3,1,1,1,1,0,0,Arvensis Ativador de Cachos e Crespos,0.633,4,3
CLI_0176,3,2,0,1,0,1,0,1,Arvensis Co-Wash Suave Cachos Naturais,0.6,3,0
CLI_0177,3,2,0,1,0,1,0,0,Curly Care Manteiga Nutritiva,0.7,5,2
CLI_0178,3,1,0,1,0,0,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.6,4,2
CLI_0179,3,1,0,1,0,0,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.6,4,2
CLI_0180,3,3,1,0,1,0,1,0,Curly Care Manteiga Nutritiva,0.5,3,3
CLI_0181,2,2,0,1,0,1,0,1,Deva Curl Delight (Volume e Leveza),0.433,3,0
CLI_0182,3,3,0,0,0,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.6,1,1
CLI_0183,3,2,1,0,0,0,1,1,Deva Curl Delight (Volume e Leveza),0.35,3,0
CLI_0184,3,2,0,1,0,0,1,0,Arvensis Geleia Forte Fixação,0.55,3,2
CLI_0185,3,1,0,0,1,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.3,3,1
CLI_0186,4,2,1,1,0,0,0,0,Arvensis Ativador de Cachos e Crespos,0.7,4,2
CLI_0187,2,1,0,1,0,1,0,1,Curly Care Manteiga Nutritiva,0.467,2,0
CLI_0188,3,2,1,0,0,1,0,0,Curly Care Manteiga Nutritiva,0.4,2,1
CLI_0189,3,3,1,1,1,0,0,1,Curly Care ACID-C (Acidificante Antiporosidade),0.567,3,3
CLI_0190,3,3,1,1,1,0,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.75,4,3
CLI_0191,4,3,1,1,1,1,0,0,Arvensis Ativador de Cachos e Crespos,0.633,3,3
CLI_0192,3,1,0,1,0,0,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.5,3,2
CLI_0193,4,1,0,1,0,1,0,0,Curly Care Manteiga Nutritiva,0.7,4,2
CLI_0194,2,2,0,0,0,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.6,3,1
CLI_0195,3,3,1,0,1,1,1,0,Arvensis Geleia Forte Fixação,0.733,4,3
CLI_0196,4,2,0,1,0,0,0,0,Arvensis Ativador de Cachos e Crespos,0.7,5,2
CLI_0197,4,2,1,1,0,0,0,0,Arvensis Ativador de Cachos e Crespos,0.7,4,2
CLI_0198,3,3,1,1,1,0,0,0,Arvensis Geleia Forte Fixação,0.25,1,3
CLI_0199,3,2,0,1,0,0,0,0,Arvensis Geleia Forte Fixação,0.2,3,2
CLI_0200,3,1,0,0,0,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.2,3,1
CLI_0201,3,1,1,1,0,1,1,0,Deva Curl Delight (Volume e Leveza),0.4,3,2
CLI_0202,3,2,0,0,0,1,0,0,Curly Care Manteiga Nutritiva,0.4,3,1
CLI_0203,4,3,1,1,1,1,0,0,Deva Curl Delight (Volume e Leveza),0.367,2,3
CLI_0204,2,2,0,0,1,0,0,1,Deva Curl Delight (Volume e Leveza),0.3,3,0
CLI_0205,3,1,0,0,1,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.3,2,1
CLI_0206,4,3,1,0,1,1,0,0,Arvensis Ativador de Cachos e Crespos,0.6,4,3
CLI_0207,2,1,0,1,0,1,0,0,Arvensis Ativador de Cachos e Crespos,0.75,3,1
CLI_0208,3,3,1,0,1,1,1,0,Curly Care ACID-C (Acidificante Antiporosidade),0.7,2,3
CLI_0209,2,1,0,0,0,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.2,3,1
CLI_0210,4,2,0,1,0,1,0,0,Curly Care Manteiga Nutritiva,0.7,4,2
CLI_0211,4,1,0,1,0,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.4,3,2
CLI_0212,4,1,0,1,0,0,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.5,3,2
CLI_0213,4,1,1,1,1,1,1,0,Curly Care Manteiga Nutritiva,0.6,4,3
CLI_0214,3,2,0,0,0,1,0,0,Curly Care Manteiga Nutritiva,0.4,3,1
CLI_0215,3,2,0,1,0,0,0,0,Arvensis Ativador de Cachos e Crespos,0.7,4,2
CLI_0216,4,3,1,1,1,1,1,0,Arvensis Co-Wash Suave Cachos Naturais,0.375,3,3
CLI_0217,3,2,0,0,0,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.6,4,1
CLI_0218,4,3,1,0,1,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.8,1,3
CLI_0219,3,1,0,0,1,0,0,0,Curly Care Manteiga Nutritiva,0.6,4,1
CLI_0220,2,1,0,0,0,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.6,4,1
CLI_0221,3,2,1,0,0,1,1,0,Arvensis Geleia Forte Fixação,0.95,5,1
CLI_0222,2,1,0,0,0,1,0,0,Curly Care Manteiga Nutritiva,0.4,2,1
CLI_0223,4,3,0,1,1,1,0,1,Curly Care ACID-C (Acidificante Antiporosidade),0.575,3,0
CLI_0224,4,2,0,1,0,1,0,0,Arvensis Geleia Forte Fixação,0.6,4,2
CLI_0225,3,2,1,1,0,1,0,0,Arvensis Ativador de Cachos e Crespos,0.75,4,2
CLI_0226,3,2,1,0,0,0,1,0,Curly Care Manteiga Nutritiva,0.4,3,1
CLI_0227,3,2,1,0,0,1,0,0,Arvensis Ativador de Cachos e Crespos,0.8,4,1
CLI_0228,3,2,0,0,0,1,0,0,Arvensis Geleia Forte Fixação,1.0,5,1
CLI_0229,4,3,1,1,1,0,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.75,4,3
CLI_0230,3,1,0,0,0,1,0,0,Deva Curl Delight (Volume e Leveza),0.6,4,1
CLI_0231,3,1,0,1,0,1,0,0,Arvensis Geleia Forte Fixação,0.6,1,2
CLI_0232,3,1,1,1,0,0,0,0,Arvensis Geleia Forte Fixação,0.2,3,2
CLI_0233,2,1,0,0,0,1,0,1,Arvensis Ativador de Cachos e Crespos,0.45,5,0
CLI_0234,3,1,0,0,0,0,1,1,Arvensis Co-Wash Suave Cachos Naturais,0.65,4,0
CLI_0235,3,3,1,1,1,1,1,0,Curly Care ACID-C (Acidificante Antiporosidade),0.65,5,3
CLI_0236,3,2,1,0,0,1,0,0,Arvensis Ativador de Cachos e Crespos,0.8,4,1
CLI_0237,3,1,0,1,0,1,0,0,Curly Care Manteiga Nutritiva,0.7,3,2
CLI_0238,4,2,1,1,0,1,0,0,Deva Curl Delight (Volume e Leveza),0.45,2,2
CLI_0239,2,1,1,1,0,1,1,0,Arvensis Geleia Forte Fixação,0.7,4,2
CLI_0240,4,3,1,1,0,0,1,1,Arvensis Co-Wash Suave Cachos Naturais,0.633,4,0
CLI_0241,3,1,1,1,0,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.55,4,2
CLI_0242,3,3,1,1,1,1,0,0,Curly Care Manteiga Nutritiva,0.667,4,3
CLI_0243,4,3,0,1,0,1,0,0,Deva Curl Delight (Volume e Leveza),0.45,3,2
CLI_0244,3,2,1,1,0,0,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.6,4,2
CLI_0245,3,1,1,1,0,0,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.6,3,2
CLI_0246,4,3,1,1,1,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.4,3,3
CLI_0247,4,2,0,1,0,0,0,0,Arvensis Geleia Forte Fixação,0.2,2,2
CLI_0248,3,2,0,1,0,0,0,0,Arvensis Ativador de Cachos e Crespos,0.7,5,2
CLI_0249,3,3,0,0,0,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.2,2,1
CLI_0250,3,2,0,0,0,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.2,2,1
CLI_0251,3,3,1,0,1,0,0,0,Curly Care ACID-C (Acidificante Antiporosidade),1.0,5,3
CLI_0252,4,3,1,1,1,1,0,0,Arvensis Ativador de Cachos e Crespos,0.633,4,3
CLI_0253,2,3,1,0,1,1,1,0,Deva Curl Delight (Volume e Leveza),0.367,2,3
CLI_0254,3,1,0,0,0,1,0,1,Deva Curl Delight (Volume e Leveza),0.5,3,0
CLI_0255,3,3,1,1,0,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.55,3,3
CLI_0256,3,1,1,1,0,1,0,0,Curly Care Manteiga Nutritiva,0.7,4,2
CLI_0257,3,3,1,1,1,0,0,0,Arvensis Geleia Forte Fixação,0.25,2,3
CLI_0258,4,1,0,1,0,0,0,0,Curly Care Manteiga Nutritiva,1.0,5,2
CLI_0259,4,1,1,1,1,1,0,1,Curly Care ACID-C (Acidificante Antiporosidade),0.575,4,0
CLI_0260,3,1,1,1,1,1,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.4,3,3
CLI_0261,3,2,0,1,0,0,0,0,Arvensis Geleia Forte Fixação,0.2,2,2
CLI_0262,2,2,1,1,0,1,0,1,Arvensis Geleia Forte Fixação,0.433,3,0
CLI_0263,3,3,1,0,1,0,0,0,Arvensis Ativador de Cachos e Crespos,0.4,3,3
CLI_0264,3,2,0,1,0,0,0,1,Arvensis Geleia Forte Fixação,0.15,2,0
CLI_0265,3,3,1,1,1,0,0,0,Arvensis Co-Wash Suave Cachos Naturais,0.5,4,3
CLI_0266,4,1,0,1,0,1,0,0,Deva Curl Delight (Volume e Leveza),0.45,1,2
CLI_0267,3,2,0,0,0,1,0,0,Curly Care ACID-C (Acidificante Antiporosidade),0.6,4,1
CLI_0268,4,3,1,1,1,1,0,0,Arvensis Geleia Forte Fixação,0.5,3,3
CLI_0269,3,2,0,0,0,0,0,1,Arvensis Co-Wash Suave Cachos Naturais,1.0,5,0
